SpGnss : begin in
SpGnss : begin out
SpGnss : start in
  mode = COLD_START
SpGnss : start out
Gnss setup OK 

2018/04/12 11:00:13.000549, numSat: 9, pos not fixed 

2018/04/12 11:00:14.000572, numSat: 9, pos not fixed 

2018/04/12 11:00:15.000533, numSat: 8, pos not fixed 

2018/04/12 11:00:16.000543, numSat: 8, pos not fixed 

2018/04/12 11:00:17.000548, numSat: 8, pos not fixed 

2018/04/12 11:00:18.000534, numSat: 8, pos not fixed 

2018/04/12 11:00:19.000528, numSat: 8, pos not fixed 

2018/04/12 11:00:20.000542, numSat: 8, pos not fixed 

2018/04/12 11:00:21.000547, numSat: 8, pos not fixed 

2018/04/12 11:00:22.000534, numSat: 8, pos not fixed 

2018/04/12 11:00:23.000543, numSat: 8, pos not fixed 

2018/04/12 11:00:24.000528, numSat: 8, pos not fixed 

2018/04/12 11:00:25.000536, numSat: 8, pos not fixed 

2018/04/12 11:00:26.000541, numSat: 8, pos not fixed 

2018/04/12 11:00:27.000545, numSat: 8, pos not fixed 

2018/04/12 11:00:28.000542, numSat: 8, pos not fixed 

2018/04/12 11:00:29.000550, numSat: 8, pos not fixed 

2018/04/12 11:00:30.000540, numSat: 9, pos not fixed 

2018/04/12 11:00:31.000535, numSat: 9, pos not fixed 

2018/04/12 11:00:31.818826, numSat: 8, Lat=51.244066, Lon=-1.099201 

2018/04/12 11:00:32.000574, numSat: 8, Lat=51.244066, Lon=-1.099201 

2018/04/12 11:00:33.000562, numSat: 8, Lat=51.244050, Lon=-1.099288 

2018/04/12 11:00:34.000579, numSat: 8, Lat=51.244101, Lon=-1.099330 

2018/04/12 11:00:35.000563, numSat: 8, Lat=51.244111, Lon=-1.099328 

2018/04/12 11:00:36.000555, numSat: 8, Lat=51.244126, Lon=-1.099347 

2018/04/12 11:00:37.000561, numSat: 8, Lat=51.244115, Lon=-1.099337 

2018/04/12 11:00:38.000561, numSat: 8, Lat=51.244109, Lon=-1.099330 

2018/04/12 11:00:39.000553, numSat: 8, Lat=51.244096, Lon=-1.099321 

2018/04/12 11:00:40.000558, numSat: 8, Lat=51.244094, Lon=-1.099317 

2018/04/12 11:00:41.000581, numSat: 8, Lat=51.244101, Lon=-1.099314 

2018/04/12 11:00:42.000563, numSat: 8, Lat=51.244094, Lon=-1.099306 

2018/04/12 11:00:43.000560, numSat: 8, Lat=51.244095, Lon=-1.099311 

2018/04/12 11:00:44.000563, numSat: 8, Lat=51.244091, Lon=-1.099307 

2018/04/12 11:00:45.000562, numSat: 8, Lat=51.244090, Lon=-1.099306 

2018/04/12 11:00:46.000558, numSat: 8, Lat=51.244087, Lon=-1.099309 

2018/04/12 11:00:47.000555, numSat: 8, Lat=51.244077, Lon=-1.099305 

2018/04/12 11:00:48.000555, numSat: 8, Lat=51.244073, Lon=-1.099298 

2018/04/12 11:00:49.000578, numSat: 8, Lat=51.244073, Lon=-1.099298 

2018/04/12 11:00:50.000578, numSat: 8, Lat=51.244074, Lon=-1.099298 

2018/04/12 11:00:51.000558, numSat: 8, Lat=51.244072, Lon=-1.099291 

2018/04/12 11:00:52.000573, numSat: 8, Lat=51.244073, Lon=-1.099289 

2018/04/12 11:00:53.000554, numSat: 8, Lat=51.244071, Lon=-1.099286 

2018/04/12 11:00:54.000565, numSat: 8, Lat=51.244071, Lon=-1.099283 

2018/04/12 11:00:55.000567, numSat: 8, Lat=51.244069, Lon=-1.099276 

2018/04/12 11:00:56.000579, numSat: 8, Lat=51.244066, Lon=-1.099271 

2018/04/12 11:00:57.000572, numSat: 8, Lat=51.244063, Lon=-1.099267 

2018/04/12 11:00:58.000567, numSat: 8, Lat=51.244061, Lon=-1.099266 

2018/04/12 11:00:59.000565, numSat: 8, Lat=51.244061, Lon=-1.099267 

numSatellites: 8
[ 0] Type:GPS, Id:10, Elv: 0, Azm:  0, Lv:22.000000 

[ 1] Type:GPS, Id:12, Elv:43, Azm:213, Lv:35.000000 

[ 2] Type:GPS, Id:15, Elv:48, Azm:172, Lv:35.000000 

[ 3] Type:GPS, Id:17, Elv:34, Azm: 72, Lv:37.000000 

[ 4] Type:GPS, Id:19, Elv:34, Azm: 98, Lv:35.000000 

[ 5] Type:GPS, Id:20, Elv: 0, Azm:  0, Lv:30.000000 

[ 6] Type:GPS, Id:24, Elv:78, Azm: 37, Lv:36.000000 

[ 7] Type:GPS, Id:32, Elv: 0, Azm:  0, Lv:21.000000 

2018/04/12 11:01:00.000571, numSat: 8, Lat=51.244065, Lon=-1.099270 

2018/04/12 11:01:01.000576, numSat: 8, Lat=51.244070, Lon=-1.099272 

2018/04/12 11:01:02.000568, numSat: 8, Lat=51.244071, Lon=-1.099271 

2018/04/12 11:01:03.000577, numSat: 8, Lat=51.244074, Lon=-1.099274 

2018/04/12 11:01:04.000564, numSat: 8, Lat=51.244074, Lon=-1.099298 

2018/04/12 11:01:05.000576, numSat: 8, Lat=51.244073, Lon=-1.099298 

2018/04/12 11:01:06.000572, numSat: 8, Lat=51.244073, Lon=-1.099291 

2018/04/12 11:01:07.000580, numSat: 8, Lat=51.244073, Lon=-1.099289 
 

